model_name,family,similarity,neighbors,rmse,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
global_mean,baseline,na,0,1.1240747101088298,,,,,,
user_mean,baseline,na,0,1.0420791107787533,,,,,,
popularity_baseline,baseline,na,0,,926.0,0.13466522678185747,0.1403110677963514,0.17551489724913208,0.09063174997020647,0.029055690072639227
user_cf_cosine_k10,user_cf,cosine,10,2.177258530940946,926.0,0.2211663066954644,0.25152233704620375,0.31187114132351396,0.19052660140930222,0.27602905569007263
item_cf_cosine_k10,item_cf,cosine,10,2.1347789801705024,926.0,0.18585313174946003,0.20623053147109038,0.2512240275507321,0.1410774469675079,0.3904358353510896
user_cf_cosine_k20,user_cf,cosine,20,2.19912345273183,926.0,0.2359611231101512,0.26230058143369883,0.3340154313143824,0.21256919310400746,0.21307506053268765
item_cf_cosine_k20,item_cf,cosine,20,2.181079742755524,926.0,0.20518358531317496,0.22418607560645815,0.269911552640057,0.1528125797555243,0.3916464891041162
user_cf_cosine_k40,user_cf,cosine,40,2.2339172830327287,926.0,0.24384449244060477,0.2757049553511104,0.3463526090936395,0.22144557619063943,0.16585956416464892
item_cf_cosine_k40,item_cf,cosine,40,2.24799267927268,926.0,0.2068034557235421,0.22264637280026908,0.2742868884121678,0.16112511696343204,0.3922518159806295
user_cf_cosine_k80,user_cf,cosine,80,2.285880993442111,926.0,0.2464362850971922,0.27811303733026604,0.3517789548117702,0.22574825663606773,0.12469733656174334
item_cf_cosine_k80,item_cf,cosine,80,2.3334081014559573,926.0,0.20658747300215985,0.21419838269784494,0.2670775664087382,0.15561823591527643,0.3976997578692494
user_cf_pearson_k10,user_cf,pearson,10,2.269754465959959,926.0,0.22613390928725702,0.2531730846574103,0.32047689581126404,0.19803473766316382,0.274818401937046
item_cf_pearson_k10,item_cf,pearson,10,2.3117420335383128,926.0,0.2002159827213823,0.21935629354265623,0.2701010457364034,0.15555885376108686,0.39648910411622273
user_cf_pearson_k20,user_cf,pearson,20,2.2919433014943573,926.0,0.24092872570194385,0.2636806593070703,0.34166546734430464,0.2200704799058252,0.21368038740920098
item_cf_pearson_k20,item_cf,pearson,20,2.365230455392865,926.0,0.22235421166306696,0.24502609956941598,0.3009753036984438,0.17815748328569087,0.38438256658595643
user_cf_pearson_k40,user_cf,pearson,40,2.3230244657817787,926.0,0.24794816414686824,0.27802666818107163,0.3533627382852574,0.22652760483242973,0.17191283292978207
item_cf_pearson_k40,item_cf,pearson,40,2.420611531231921,926.0,0.23120950323974082,0.24932124397735744,0.3106116077871451,0.19034703431208497,0.37167070217917675
user_cf_pearson_k80,user_cf,pearson,80,2.361780102103645,926.0,0.24870410367170628,0.2790590412595952,0.35518526024650426,0.22858295349977442,0.13135593220338984
item_cf_pearson_k80,item_cf,pearson,80,2.4852367942641562,926.0,0.23002159827213822,0.24930442358074437,0.31231179466086184,0.1931341093052692,0.3662227602905569
user_cf_jaccard_k10,user_cf,jaccard,10,2.23756136986334,926.0,0.22289416846652269,0.25145080562973593,0.3092742785879027,0.18920268045223046,0.2736077481840194
item_cf_jaccard_k10,item_cf,jaccard,10,2.189344287967694,926.0,0.19125269978401727,0.21070375865516755,0.2529881808940907,0.1413044532967975,0.3922518159806295
user_cf_jaccard_k20,user_cf,jaccard,20,2.256549315265134,926.0,0.23466522678185747,0.26691722506439863,0.33106044713860494,0.20766090719545155,0.211864406779661
item_cf_jaccard_k20,item_cf,jaccard,20,2.2318700591383327,926.0,0.21025917926565876,0.2305382353088631,0.27360158056069384,0.15546323351954972,0.3686440677966102
user_cf_jaccard_k40,user_cf,jaccard,40,2.284032109149516,926.0,0.2434125269978402,0.2757666936324271,0.34396571890936695,0.21789911654006455,0.16767554479418886
item_cf_jaccard_k40,item_cf,jaccard,40,2.2901966351239627,926.0,0.21382289416846653,0.23104827210289286,0.27978445175836525,0.16292431809536867,0.35108958837772397
user_cf_jaccard_k80,user_cf,jaccard,80,2.32424055470879,926.0,0.24308855291576673,0.2716289044496599,0.34737637678398214,0.22209649520555363,0.1271186440677966
item_cf_jaccard_k80,item_cf,jaccard,80,2.3604082910136586,926.0,0.21004319654427644,0.21799743660632162,0.27368956414703016,0.1611803669652006,0.3601694915254237
